sample	donor	tissue	purity	ploidy	WGD	cohort	Missing_Files
PPCG0734a	PPCG0734	Primary	0.479	1.937	False	PPCG	.
PPCG0735a	PPCG0735	Primary	0.350	3.490	True	PPCG	.
PPCG0736a	PPCG0736	Primary	0.487	1.612	False	PPCG	.
PPCG0737a	PPCG0737	Primary	0.512	1.562	False	PPCG	.
PPCG0738a	PPCG0738	Primary	0.669	3.594	True	PPCG	.
PPCG0739a	PPCG0739	Primary	0.209	2.301	False	PPCG	.
PPCG0740a	PPCG0740	Primary	0.560	3.600	True	PPCG	.
PPCG0741a	PPCG0741	Primary	0.421	1.464	False	PPCG	.
PPCG0742a	PPCG0742	Primary	0.457	4.449	True	PPCG	.
PPCG0743a	PPCG0743	Primary	0.447	1.661	False	PPCG	.
PPCG0744a	PPCG0744	Primary	0.333	1.513	False	PPCG	.
PPCG0745a	PPCG0745	Primary	0.627	1.273	False	PPCG	.
PPCG0746a	PPCG0746	Primary	0.285	1.618	False	PPCG	.
PPCG0747a	PPCG0747	Primary	0.695	1.724	False	PPCG	.
PPCG0748a	PPCG0748	Primary	0.580	2.316	False	PPCG	SV
PPCG0749a	PPCG0749	Primary	0.575	2.945	False	PPCG	.
PPCG0750a	PPCG0750	Primary	0.784	2.388	False	PPCG	.
PPCG0751a	PPCG0751	Primary	0.970	2.620	False	PPCG	.
PPCG0752a	PPCG0752	Primary	0.571	1.743	False	PPCG	.
PPCG0753a	PPCG0753	Primary	0.247	1.726	False	PPCG	.
PPCG0754a	PPCG0754	Primary	0.408	1.733	False	PPCG	.
PPCG0755a	PPCG0755	Primary	0.468	1.587	False	PPCG	.
PPCG0756a	PPCG0756	Primary	0.762	1.561	False	PPCG	.
PPCG0757a	PPCG0757	Primary	0.326	1.616	False	PPCG	.
PPCG0758a	PPCG0758	Primary	0.542	1.860	False	PPCG	.
PPCG0759a	PPCG0759	Primary	0.209	1.915	False	PPCG	.
PPCG0760a	PPCG0760	Primary	0.553	0.968	False	PPCG	.
PPCG0761a	PPCG0761	Primary	0.808	2.375	False	PPCG	.
PPCG0762a	PPCG0762	Primary	0.615	1.483	False	PPCG	.
PPCG0763a	PPCG0763	Primary	0.595	1.566	False	PPCG	.
PPCG0764a	PPCG0764	Primary	0.627	1.562	False	PPCG	.
PPCG0765a	PPCG0765	Primary	0.410	1.098	False	PPCG	.
PPCG0766a	PPCG0766	Primary	0.286	1.597	False	PPCG	.
PPCG0767a	PPCG0767	Primary	0.786	1.543	False	PPCG	.
PPCG0768a	PPCG0768	Primary	0.636	2.315	False	PPCG	.
PPCG0769a	PPCG0769	Primary	0.444	1.856	False	PPCG	.
PPCG0770a	PPCG0770	Primary	0.780	1.726	False	PPCG	.
PPCG0771a	PPCG0771	Primary	0.487	1.557	False	PPCG	.
PPCG0772a	PPCG0772	Primary	0.620	2.060	False	PPCG	.
PPCG0773a	PPCG0773	Primary	0.578	1.722	False	PPCG	.
PPCG0774a	PPCG0774	Primary	0.551	1.636	False	PPCG	.
PPCG0775a	PPCG0775	Primary	0.574	1.751	False	PPCG	.
PPCG0776a	PPCG0776	Primary	0.213	2.519	False	PPCG	.
PPCG0777a	PPCG0777	Primary	0.314	1.844	False	PPCG	.
PPCG0778a	PPCG0778	Primary	0.746	1.834	False	PPCG	.
PPCG0779a	PPCG0779	Primary	0.770	1.971	False	PPCG	.
PPCG0780a	PPCG0780	Primary	0.629	0.784	False	PPCG	.
PPCG0781a	PPCG0781	Primary	0.600	1.309	False	PPCG	.
PPCG0782a	PPCG0782	Primary	0.290	0.977	False	PPCG	.
PPCG0783a	PPCG0783	Primary	0.352	1.900	False	PPCG	.
PPCG0784a	PPCG0784	Primary	0.287	1.607	False	PPCG	.
PPCG0785a	PPCG0785	Primary	0.308	1.130	False	PPCG	.
PPCG0786a	PPCG0786	Primary	0.568	4.269	True	PPCG	.
PPCG0787a	PPCG0787	Primary	0.602	1.237	False	PPCG	.
PPCG0788a	PPCG0788	Primary	0.472	1.933	False	PPCG	.
PPCG0789a	PPCG0789	Primary	0.515	0.990	False	PPCG	.
PPCG0790a	PPCG0790	Primary	0.534	1.289	False	PPCG	.
PPCG0791a	PPCG0791	Primary	0.651	1.217	False	PPCG	.
PPCG0792a	PPCG0792	Primary	0.278	1.315	False	PPCG	.
PPCG0793a	PPCG0793	Primary	0.669	1.446	False	PPCG	.
PPCG0794a	PPCG0794	Primary	0.365	1.473	False	PPCG	.
PPCG0795a	PPCG0795	Primary	0.616	1.120	False	PPCG	.
PPCG0796a	PPCG0796	Primary	0.314	0.748	False	PPCG	.
PPCG0797a	PPCG0797	Primary	0.229	1.292	False	PPCG	.
PPCG0798a	PPCG0798	Primary	0.292	1.220	False	PPCG	.
PPCG0799a	PPCG0799	Primary	0.238	1.287	False	PPCG	.
PPCG0800a	PPCG0800	Primary	0.624	1.263	False	PPCG	.
PPCG0801a	PPCG0801	Primary	0.727	0.861	False	PPCG	.
PPCG0802a	PPCG0802	Primary	0.538	1.753	False	PPCG	.
PPCG0803a	PPCG0803	Primary	0.310	2.111	False	PPCG	.
PPCG0804a	PPCG0804	Primary	0.250	2.042	False	PPCG	.
PPCG0805a	PPCG0805	Primary	0.599	1.646	False	PPCG	.
PPCG0806a	PPCG0806	Primary	0.247	1.716	False	PPCG	.
PPCG0807a	PPCG0807	Primary	0.795	2.148	False	PPCG	.
PPCG0808a	PPCG0808	Primary	0.667	1.611	False	PPCG	.
PPCG0809a	PPCG0809	Primary	0.238	1.814	False	PPCG	.
PPCG0810a	PPCG0810	Primary	0.481	1.670	False	PPCG	.
PPCG0811a	PPCG0811	Primary	0.550	1.932	False	PPCG	.
PPCG0812a	PPCG0812	Primary	0.310	1.719	False	PPCG	.
PPCG0813a	PPCG0813	Primary	0.388	1.819	False	PPCG	.
PPCG0814a	PPCG0814	Primary	0.290	0.963	False	PPCG	.
PPCG0815a	PPCG0815	Primary	0.332	1.748	False	PPCG	.
PPCG0816a	PPCG0816	Primary	0.307	1.672	False	PPCG	.
PPCG0817a	PPCG0817	Primary	0.303	1.580	False	PPCG	.
PPCG0818a	PPCG0818	Primary	0.644	1.729	False	PPCG	.
PPCG0819a	PPCG0819	Primary	0.739	1.238	False	PPCG	.
PPCG0820a	PPCG0820	Primary	0.257	1.630	False	PPCG	.
PPCG0821a	PPCG0821	Primary	0.230	1.774	False	PPCG	.
PPCG0822a	PPCG0822	Primary	0.353	1.742	False	PPCG	.
PPCG0823a	PPCG0823	Primary	0.394	1.952	True	PPCG	.
PPCG0824a	PPCG0824	Primary	0.505	1.182	False	PPCG	.
PPCG0825a	PPCG0825	Primary	0.490	0.876	False	PPCG	.
PPCG0826a	PPCG0826	Primary	0.481	0.895	False	PPCG	.
PPCG0827a	PPCG0827	Primary	0.430	1.398	False	PPCG	.
PPCG0828a	PPCG0828	Primary	0.553	1.819	False	PPCG	.
PPCG0829a	PPCG0829	Primary	0.264	2.457	False	PPCG	SV
PPCG0830a	PPCG0830	Primary	0.323	2.909	True	PPCG	.
PPCG0831a	PPCG0831	Primary	0.267	1.938	False	PPCG	.
PPCG0832a	PPCG0832	Primary	0.251	1.706	False	PPCG	.
PPCG0833a	PPCG0833	Primary	0.642	1.670	False	PPCG	.
PPCG0834a	PPCG0834	Primary	0.563	1.559	False	PPCG	.
PPCG0835a	PPCG0835	Primary	0.250	2.817	False	PPCG	.
PPCG0836a	PPCG0836	Primary	0.420	3.151	True	PPCG	.
PPCG0837a	PPCG0837	Primary	0.239	2.380	False	PPCG	.
PPCG0838a	PPCG0838	Primary	0.792	1.382	False	PPCG	.
PPCG0839a	PPCG0839	Primary	0.248	2.043	False	PPCG	.
PPCG0840a	PPCG0840	Primary	0.439	1.571	False	PPCG	.
PPCG0841a	PPCG0841	Primary	0.259	1.736	False	PPCG	.
PPCG0842a	PPCG0842	Primary	0.298	1.919	False	PPCG	.
PPCG0843a	PPCG0843	Primary	0.333	1.686	False	PPCG	.
PPCG0844a	PPCG0844	Primary	0.295	1.920	False	PPCG	SV
PPCG0844c	PPCG0844	Primary	0.310	1.926	False	PPCG	SV
PPCG0844d	PPCG0844	Primary	0.522	1.974	False	PPCG	.
PPCG0844e	PPCG0844	Primary	0.446	1.886	False	PPCG	.
PPCG0844f	PPCG0844	Primary	0.314	3.683	True	PPCG	.
PPCG0844g	PPCG0844	Primary	0.335	1.804	False	PPCG	.
PPCG0845a	PPCG0845	Primary	0.284	2.038	False	PPCG	.
PPCG0846a	PPCG0846	Primary	0.310	1.906	False	PPCG	.
PPCG0846c	PPCG0846	Primary	0.300	1.923	False	PPCG	INDEL,SV
PPCG0847a	PPCG0847	Primary	0.372	4.037	True	PPCG	.
PPCG0847c	PPCG0847	Primary	0.370	3.836	True	PPCG	.
PPCG0847d	PPCG0847	Primary	0.482	1.913	False	PPCG	.
PPCG0847e	PPCG0847	Primary	0.469	1.912	False	PPCG	.
PPCG0847f	PPCG0847	Primary	0.380	4.005	True	PPCG	.
PPCG0847g	PPCG0847	Primary	0.452	1.881	False	PPCG	.
PPCG0848a	PPCG0848	Primary	0.257	1.846	False	PPCG	.
PPCG0849a	PPCG0849	Primary	0.410	3.697	True	PPCG	.
PPCG0849c	PPCG0849	Primary	0.358	1.783	False	PPCG	.
PPCG0849d	PPCG0849	Primary	0.838	1.808	False	PPCG	.
PPCG0850a	PPCG0850	Primary	0.291	1.805	False	PPCG	.
PPCG0850c	PPCG0850	Primary	0.280	1.733	False	PPCG	.
PPCG0851a	PPCG0851	Primary	0.293	3.547	True	PPCG	.
PPCG0851c	PPCG0851	Primary	0.357	1.573	False	PPCG	.
PPCG0852a	PPCG0852	Primary	0.467	1.923	False	PPCG	.
PPCG0853a	PPCG0853	Primary	0.334	1.800	False	PPCG	.
PPCG0853c	PPCG0853	Primary	0.480	1.810	False	PPCG	.
PPCG0854a	PPCG0854	Primary	0.290	1.867	False	PPCG	SV
PPCG0855a	PPCG0855	Primary	0.260	1.895	False	PPCG	.
PPCG0856a	PPCG0856	Primary	0.320	1.967	False	PPCG	.
PPCG0857a	PPCG0857	Primary	0.636	1.505	False	PPCG	.
PPCG0858a	PPCG0858	Primary	0.386	1.766	False	PPCG	.
PPCG0859a	PPCG0859	Primary	0.407	1.817	False	PPCG	.
PPCG0860a	PPCG0860	Primary	0.400	1.930	False	PPCG	.
PPCG0861a	PPCG0861	Primary	0.398	1.855	False	PPCG	.
PPCG0862a	PPCG0862	Primary	0.428	1.785	False	PPCG	.
PPCG0863a	PPCG0863	Primary	0.510	1.674	False	PPCG	.
PPCG0864a	PPCG0864	Primary	0.496	2.022	False	PPCG	.
PPCG0865a	PPCG0865	Primary	0.443	1.565	False	PPCG	.
PPCG0866a	PPCG0866	Primary	0.264	2.088	False	PPCG	.
PPCG0867a	PPCG0867	Primary	0.260	1.917	False	PPCG	SV
PPCG0868a	PPCG0868	Primary	0.280	1.926	False	PPCG	SV
PPCG0869a	PPCG0869	Primary	0.322	1.659	False	PPCG	.
PPCG0870a	PPCG0870	Primary	0.427	1.800	False	PPCG	.
PPCG0871a	PPCG0871	Primary	0.288	3.464	True	PPCG	.
PPCG0872a	PPCG0872	Primary	0.320	1.893	False	PPCG	.
PPCG0873a	PPCG0873	Primary	0.400	1.694	False	PPCG	.
PPCG0874a	PPCG0874	Primary	0.290	1.952	False	PPCG	.
PPCG0875a	PPCG0875	Primary	0.571	1.586	False	PPCG	.
PPCG0876a	PPCG0876	Primary	0.420	1.778	False	PPCG	.
PPCG0877a	PPCG0877	Primary	0.283	1.906	False	PPCG	.
PPCG0878a	PPCG0878	Primary	0.288	1.726	False	PPCG	.
PPCG0879a	PPCG0879	Primary	0.308	1.697	False	PPCG	.
PPCG0880a	PPCG0880	Primary	0.371	1.930	False	PPCG	.
PPCG0881a	PPCG0881	Primary	0.600	2.000	False	PPCG	.
PPCG0882a	PPCG0882	Primary	0.578	1.789	False	PPCG	.
PPCG0883a	PPCG0883	Primary	0.466	1.972	False	PPCG	.
PPCG0884a	PPCG0884	Primary	0.554	2.943	False	PPCG	.
PPCG0885a	PPCG0885	Primary	0.535	1.830	False	PPCG	.
PPCG0886a	PPCG0886	Primary	0.509	1.872	False	PPCG	.
PPCG0887a	PPCG0887	Primary	0.431	1.792	False	PPCG	.
PPCG0888a	PPCG0888	Primary	0.288	1.828	False	PPCG	.
PPCG0889a	PPCG0889	Primary	0.417	1.549	False	PPCG	.
PPCG0890a	PPCG0890	Primary	0.322	2.017	False	PPCG	.
PPCG0891a	PPCG0891	Primary	0.550	2.744	False	PPCG	.
PPCG0892a	PPCG0892	Primary	0.447	1.781	False	PPCG	.
PPCG0893a	PPCG0893	Primary	0.561	1.747	False	PPCG	.
PPCG0894a	PPCG0894	Primary	0.350	1.929	False	PPCG	SV
PPCG0895a	PPCG0895	Primary	0.405	1.614	False	PPCG	.
PPCG0896a	PPCG0896	Primary	0.458	1.973	False	PPCG	.
PPCG0897a	PPCG0897	Primary	0.370	1.723	False	PPCG	.
PPCG0898a	PPCG0898	Primary	0.374	1.841	False	PPCG	.
PPCG0899a	PPCG0899	Primary	0.388	1.814	False	PPCG	.
PPCG0900a	PPCG0900	Primary	0.371	2.101	False	PPCG	.
PPCG0901a	PPCG0901	Primary	0.300	1.903	False	PPCG	.
PPCG0902a	PPCG0902	Primary	0.428	2.096	False	PPCG	.
PPCG0903a	PPCG0903	Primary	0.316	1.783	False	PPCG	.
PPCG0904a	PPCG0904	Primary	0.278	1.705	False	PPCG	.
PPCG0905a	PPCG0905	Primary	0.320	1.714	False	PPCG	.
PPCG0906a	PPCG0906	Primary	0.307	3.091	False	PPCG	.
PPCG0907a	PPCG0907	Primary	0.389	1.790	False	PPCG	.
PPCG0908a	PPCG0908	Primary	0.466	1.925	False	PPCG	.
PPCG0909a	PPCG0909	Primary	0.575	1.906	False	PPCG	.
PPCG0910a	PPCG0910	Primary	0.654	3.362	True	PPCG	.
PPCG0911a	PPCG0911	Primary	0.261	2.144	False	PPCG	.
PPCG0912a	PPCG0912	Primary	0.639	1.670	False	PPCG	.
PPCG0913a	PPCG0913	Primary	0.345	1.737	False	PPCG	.
PPCG0913c	PPCG0913	Primary	0.268	1.868	False	PPCG	.
PPCG0914a	PPCG0914	Primary	0.293	2.171	False	PPCG	.
PPCG0915a	PPCG0915	Primary	0.522	1.741	False	PPCG	.
PPCG0916a	PPCG0916	Primary	0.478	1.660	False	PPCG	.
PPCG0917a	PPCG0917	Primary	0.467	1.911	False	PPCG	.
PPCG0918a	PPCG0918	Primary	0.651	1.869	False	PPCG	.
PPCG0919a	PPCG0919	Primary	0.448	1.770	False	PPCG	.
PPCG0920a	PPCG0920	Primary	0.527	1.609	False	PPCG	.
PPCG0921a	PPCG0921	Primary	0.491	1.944	False	PPCG	.
PPCG0922a	PPCG0922	Primary	0.441	1.695	False	PPCG	.
PPCG0923a	PPCG0923	Primary	0.693	1.910	False	PPCG	.
PPCG0924a	PPCG0924	Primary	0.243	2.837	False	PPCG	.
PPCG0924c	PPCG0924	Primary	0.300	2.762	False	PPCG	.
PPCG0925a	PPCG0925	Primary	0.247	1.687	False	PPCG	INDEL,SNV,SV
PPCG0926a	PPCG0926	Primary	0.257	1.830	False	PPCG	.
PPCG0927a	PPCG0927	Primary	0.499	1.785	False	PPCG	.
PPCG0928a	PPCG0928	Primary	0.508	1.836	False	PPCG	.
PPCG0929a	PPCG0929	Primary	0.679	1.644	False	PPCG	.
PPCG0930a	PPCG0930	Primary	0.521	1.946	False	PPCG	.
PPCG0931a	PPCG0931	Primary	0.279	1.633	False	PPCG	.
PPCG0932a	PPCG0932	Primary	0.596	3.444	True	PPCG	.
PPCG0933a	PPCG0933	Primary	0.290	1.969	False	PPCG	.
PPCG0934a	PPCG0934	Primary	0.245	1.712	False	PPCG	.
PPCG0935a	PPCG0935	Primary	0.784	1.809	False	PPCG	.
PPCG0936a	PPCG0936	Primary	0.481	2.000	False	PPCG	.
PPCG0937a	PPCG0937	Primary	0.288	1.879	False	PPCG	.
PPCG0938a	PPCG0938	Primary	0.400	1.953	False	PPCG	.
PPCG0939a	PPCG0939	Primary	0.347	2.410	False	PPCG	.
PPCG0940a	PPCG0940	Primary	0.487	1.852	False	PPCG	.
PPCG0941a	PPCG0941	Primary	0.302	1.608	False	PPCG	.
PPCG0942a	PPCG0942	Primary	0.878	1.656	False	PPCG	.
PPCG0943c	PPCG0943	Primary	0.300	1.745	False	PPCG	.
PPCG0945a	PPCG0945	Primary	0.259	4.225	False	PPCG	.
PPCG0945c	PPCG0945	Primary	0.992	2.000	False	PPCG	.
PPCG0947a	PPCG0947	Primary	0.655	3.226	True	PPCG	.
PPCG0948a	PPCG0948	Primary	0.522	1.750	False	PPCG	.
PPCG0949a	PPCG0949	Primary	0.410	1.887	False	PPCG	.
PPCG0950a	PPCG0950	Primary	0.717	1.757	False	PPCG	.
PPCG0951a	PPCG0951	Primary	0.549	1.849	False	PPCG	.
PPCG0952a	PPCG0952	Primary	0.515	1.850	False	PPCG	.
PPCG0953a	PPCG0953	Primary	0.492	1.847	False	PPCG	.
PPCG0954a	PPCG0954	Primary	0.341	1.889	False	PPCG	.
PPCG0955a	PPCG0955	Primary	0.370	1.926	False	PPCG	SV
PPCG0956a	PPCG0956	Primary	0.358	0.960	False	PPCG	.
PPCG0957a	PPCG0957	Primary	0.587	1.524	False	PPCG	.
PPCG0958a	PPCG0958	Primary	0.296	1.950	False	PPCG	.
PPCG0959a	PPCG0959	Primary	0.952	1.926	False	PPCG	SV
PPCG0960a	PPCG0960	Primary	0.293	2.023	False	PPCG	.
PPCG0961a	PPCG0961	Primary	0.342	1.862	False	PPCG	.
PPCG0962a	PPCG0962	Primary	0.290	1.929	False	PPCG	SV
PPCG0963a	PPCG0963	Primary	0.297	1.650	False	PPCG	.
PPCG0964a	PPCG0964	Primary	0.504	2.142	False	PPCG	.
PPCG0965a	PPCG0965	Primary	0.450	1.848	False	PPCG	.
PPCG0966a	PPCG0966	Primary	0.202	2.530	False	PPCG	.
PPCG0967a	PPCG0967	Primary	0.391	3.477	True	PPCG	.
PPCG0968a	PPCG0968	Primary	0.251	1.821	False	PPCG	.
PPCG0969a	PPCG0969	Primary	0.334	2.601	False	PPCG	.
PPCG0970a	PPCG0970	Primary	0.840	2.036	False	PPCG	.
PPCG0971a	PPCG0971	Primary	0.471	1.886	False	PPCG	.
PPCG0972a	PPCG0972	Primary	0.504	1.727	False	PPCG	.
PPCG0973a	PPCG0973	Primary	0.430	1.617	False	PPCG	.
PPCG0974a	PPCG0974	Primary	0.294	3.567	True	PPCG	.
PPCG0975a	PPCG0975	Primary	0.353	1.878	False	PPCG	.
PPCG0976a	PPCG0976	Primary	0.428	1.922	False	PPCG	.
PPCG0977a	PPCG0977	Primary	0.396	1.810	False	PPCG	.
PPCG0978a	PPCG0978	Primary	0.305	1.863	False	PPCG	.
PPCG0979a	PPCG0979	Primary	0.502	1.792	False	PPCG	.
PPCG0980a	PPCG0980	Primary	0.641	1.733	False	PPCG	.
PPCG0981a	PPCG0981	Primary	0.280	2.429	False	PPCG	.
PPCG0982a	PPCG0982	Primary	0.259	1.906	False	PPCG	SV
PPCG0983a	PPCG0983	Primary	0.653	1.789	False	PPCG	.
PPCG0984a	PPCG0984	Primary	0.381	3.188	True	PPCG	.
PPCG0985a	PPCG0985	Primary	0.490	1.873	False	PPCG	.
PPCG0986a	PPCG0986	Primary	0.262	2.833	False	PPCG	.
PPCG0987a	PPCG0987	Primary	0.454	2.507	False	PPCG	.
PPCG1084a	PPCG1084	Primary	0.532	2.144	False	PPCG	.
PPCG1085a	PPCG1085	Primary	0.386	1.786	False	PPCG	.
PPCG1086a	PPCG1086	Primary	0.543	2.673	False	PPCG	.
PPCG1087a	PPCG1087	Primary	0.761	2.485	False	PPCG	.
PPCG1088a	PPCG1088	Primary	0.174	2.747	False	PPCG	.
PPCG1089a	PPCG1089	Primary	0.302	1.901	False	PPCG	.
PPCG1090a	PPCG1090	Primary	0.490	1.596	False	PPCG	.
PPCG1091a	PPCG1091	Primary	0.258	1.989	False	PPCG	.
PPCG1092a	PPCG1092	Primary	0.180	1.926	False	PPCG	.
PPCG1093a	PPCG1093	Primary	0.427	1.619	False	PPCG	.
PPCG1094a	PPCG1094	Primary	0.280	2.861	False	PPCG	.
PPCG1095a	PPCG1095	Primary	0.553	1.772	False	PPCG	.
PPCG1096a	PPCG1096	Primary	0.160	2.077	False	PPCG	SV
PPCG1097a	PPCG1097	Primary	0.271	2.633	False	PPCG	.
PPCG1098a	PPCG1098	Primary	0.170	3.357	False	PPCG	INDEL
PPCG1099a	PPCG1099	Primary	0.170	2.000	False	PPCG	SV
PPCG1100a	PPCG1100	Primary	0.709	1.758	False	PPCG	.
PPCG1101a	PPCG1101	Primary	0.160	2.036	False	PPCG	SV
PPCG1102a	PPCG1102	Primary	0.384	4.720	True	PPCG	.
PPCG1103a	PPCG1103	Primary	0.346	2.636	False	PPCG	.
PPCG1105a	PPCG1105	Primary	0.252	1.839	False	PPCG	.
PPCG1106a	PPCG1106	Primary	0.709	1.690	False	PPCG	.
